document_id,category,split
AGN-TEST-000001,business,test
AGN-TEST-000002,sci_tech,test
AGN-TEST-000003,sci_tech,test
AGN-TEST-000004,sci_tech,test
AGN-TEST-000005,sci_tech,test
AGN-TEST-000006,sci_tech,test
AGN-TEST-000007,sci_tech,test
AGN-TEST-000008,sci_tech,test
AGN-TEST-000009,sci_tech,test
AGN-TEST-000010,sci_tech,test
AGN-TEST-000011,sci_tech,test
AGN-TEST-000012,sci_tech,test
AGN-TEST-000013,sci_tech,test
AGN-TEST-000014,sci_tech,test
AGN-TEST-000015,sci_tech,test
AGN-TEST-000016,sci_tech,test
AGN-TEST-000017,sci_tech,test
AGN-TEST-000018,sci_tech,test
AGN-TEST-000019,sci_tech,test
AGN-TEST-000020,sci_tech,test
AGN-TEST-000021,sci_tech,test
AGN-TEST-000022,sci_tech,test
AGN-TEST-000023,sci_tech,test
AGN-TEST-000024,sci_tech,test
AGN-TEST-000025,sci_tech,test
AGN-TEST-000026,sci_tech,test
AGN-TEST-000027,sports,test
AGN-TEST-000028,sports,test
AGN-TEST-000029,sports,test
AGN-TEST-000030,sports,test
AGN-TEST-000031,sports,test
AGN-TEST-000032,sports,test
AGN-TEST-000033,world,test
AGN-TEST-000034,world,test
AGN-TEST-000035,world,test
AGN-TEST-000036,world,test
AGN-TEST-000037,world,test
AGN-TEST-000038,world,test
AGN-TEST-000039,world,test
AGN-TEST-000040,world,test
AGN-TEST-000041,sports,test
AGN-TEST-000042,business,test
AGN-TEST-000043,world,test
AGN-TEST-000044,sci_tech,test
AGN-TEST-000045,sports,test
AGN-TEST-000046,sports,test
AGN-TEST-000047,world,test
AGN-TEST-000048,sci_tech,test
AGN-TEST-000049,world,test
AGN-TEST-000050,sports,test
AGN-TEST-000051,world,test
AGN-TEST-000052,sports,test
AGN-TEST-000053,world,test
AGN-TEST-000054,sci_tech,test
AGN-TEST-000055,business,test
AGN-TEST-000056,sci_tech,test
AGN-TEST-000057,world,test
AGN-TEST-000058,world,test
AGN-TEST-000059,business,test
AGN-TEST-000060,business,test
AGN-TEST-000061,sports,test
AGN-TEST-000062,sports,test
AGN-TEST-000063,sports,test
AGN-TEST-000064,sci_tech,test
AGN-TEST-000065,world,test
AGN-TEST-000066,sci_tech,test
AGN-TEST-000067,world,test
AGN-TEST-000068,world,test
AGN-TEST-000069,sports,test
AGN-TEST-000070,world,test
AGN-TEST-000071,sci_tech,test
AGN-TEST-000072,sci_tech,test
AGN-TEST-000073,sci_tech,test
AGN-TEST-000074,world,test
AGN-TEST-000075,sci_tech,test
AGN-TEST-000076,sports,test
AGN-TEST-000077,world,test
AGN-TEST-000078,sports,test
AGN-TEST-000079,world,test
AGN-TEST-000080,world,test
AGN-TEST-000081,world,test
AGN-TEST-000082,sports,test
AGN-TEST-000083,business,test
AGN-TEST-000084,business,test
AGN-TEST-000085,world,test
AGN-TEST-000086,world,test
AGN-TEST-000087,business,test
AGN-TEST-000088,world,test
AGN-TEST-000089,world,test
AGN-TEST-000090,sci_tech,test
AGN-TEST-000091,business,test
AGN-TEST-000092,sci_tech,test
AGN-TEST-000093,business,test
AGN-TEST-000094,sports,test
AGN-TEST-000095,sports,test
AGN-TEST-000096,sports,test
AGN-TEST-000097,business,test
AGN-TEST-000098,world,test
AGN-TEST-000099,business,test
AGN-TEST-000100,sports,test
AGN-TEST-000101,business,test
AGN-TEST-000102,sci_tech,test
AGN-TEST-000103,business,test
AGN-TEST-000104,world,test
AGN-TEST-000105,sports,test
AGN-TEST-000106,world,test
AGN-TEST-000107,sports,test
AGN-TEST-000108,world,test
