document_id,category,split
KMP-00001,money,train
KMP-00002,global,train
KMP-00003,bola,train
KMP-00004,global,train
KMP-00005,global,train
KMP-00006,money,train
KMP-00007,bola,test
KMP-00008,money,train
KMP-00009,money,train
KMP-00010,bola,train
KMP-00011,global,train
KMP-00012,money,train
KMP-00013,money,test
KMP-00014,money,train
KMP-00015,global,train
KMP-00016,money,train
KMP-00017,bola,train
KMP-00018,tekno,train
KMP-00019,money,train
KMP-00020,tekno,train
KMP-00021,tekno,train
KMP-00022,bola,test
KMP-00023,global,train
KMP-00024,tekno,train
KMP-00025,global,train
KMP-00026,tekno,train
KMP-00027,bola,train
KMP-00028,tekno,train
KMP-00029,money,train
KMP-00030,tekno,train
KMP-00031,bola,train
KMP-00032,global,validation
KMP-00033,global,train
KMP-00034,global,train
KMP-00035,tekno,train
KMP-00036,global,train
KMP-00037,money,train
KMP-00038,bola,train
KMP-00039,global,train
KMP-00040,money,test
KMP-00041,money,train
KMP-00042,bola,train
KMP-00043,tekno,train
KMP-00044,bola,train
KMP-00045,tekno,train
KMP-00046,bola,train
KMP-00047,global,train
KMP-00048,global,train
KMP-00049,bola,test
KMP-00050,bola,train
KMP-00051,global,train
KMP-00052,tekno,train
KMP-00053,global,train
KMP-00054,tekno,train
KMP-00055,global,train
KMP-00056,tekno,train
KMP-00057,global,train
KMP-00058,tekno,train
KMP-00059,global,train
KMP-00060,global,train
KMP-00061,bola,train
KMP-00062,tekno,train
KMP-00063,money,train
KMP-00064,bola,train
KMP-00065,bola,train
KMP-00066,tekno,train
KMP-00067,global,train
KMP-00068,tekno,train
KMP-00069,money,train
KMP-00070,global,train
KMP-00071,money,validation
KMP-00072,bola,test
KMP-00073,global,test
KMP-00074,global,train
KMP-00075,global,train
KMP-00076,tekno,validation
KMP-00077,bola,train
KMP-00078,money,test
KMP-00079,tekno,train
KMP-00080,bola,train
KMP-00081,tekno,train
KMP-00082,bola,validation
KMP-00083,money,train
KMP-00084,global,test
KMP-00085,money,validation
KMP-00086,global,train
KMP-00087,global,train
KMP-00088,global,train
KMP-00089,tekno,train
