experiment_name,model,scenario_code,dataset,status,accuracy,f1_macro,evaluation_time_seconds,error_message
cnn_k1,cnn,K1,Kompas,success,0.938,0.9379869525019224,0.57276,
cnn_k2,cnn,K2,Kompas,success,0.969,0.9690358618620193,0.537634,
cnn_k3,cnn,K3,Kompas,success,0.959,0.9590609517111816,0.47143,
cnn_a1,cnn,A1,AG News,success,0.8725,0.8721047683701564,1.585268,
cnn_a2,cnn,A2,AG News,success,0.9168421052631579,0.9168050709752416,1.516992,
attention_bilstm_k1,attention_bilstm,K1,Kompas,success,0.944,0.9438325024922908,1.076388,
attention_bilstm_k2,attention_bilstm,K2,Kompas,success,0.968,0.9680427375865936,1.066817,
attention_bilstm_k3,attention_bilstm,K3,Kompas,success,0.958,0.9578833740254085,1.716941,
attention_bilstm_a1,attention_bilstm,A1,AG News,success,0.8688157894736842,0.8683701927902188,3.510857,
attention_bilstm_a2,attention_bilstm,A2,AG News,success,0.9114473684210527,0.9110709871788675,3.655642,
