experiment_name,model,scenario_code,status,return_code,start_time,end_time,duration_seconds,duration_minutes,best_epoch,best_validation_loss,best_validation_accuracy,epochs_completed,error_message,checkpoint_path,summary_path,dataset,run_action,artifact_complete,checkpoint_exists,summary_exists,log_path
attention_bilstm_a1,attention_bilstm,A1,success,0,2026-07-17T05:04:23,2026-07-17T05:32:53,1710.4892,28.5082,1,0.3657356202602386,0.8738107085227966,6,,C:\TA_KLASIFIKASI_DOKUMEN_BERITA\8_save_models\checkpoints\attention_bilstm_a1_best.keras,C:\TA_KLASIFIKASI_DOKUMEN_BERITA\9_results\training_summary\attention_bilstm_a1_summary.json,AG News,executed,True,True,True,C:\TA_KLASIFIKASI_DOKUMEN_BERITA\9_results\experiment_logs\attention_bilstm_a1.log
attention_bilstm_a2,attention_bilstm,A2,success,0,2026-07-17T05:32:57,2026-07-17T06:00:55,1677.2068,27.9534,1,0.24999041855335236,0.916458010673523,6,,C:\TA_KLASIFIKASI_DOKUMEN_BERITA\8_save_models\checkpoints\attention_bilstm_a2_best.keras,C:\TA_KLASIFIKASI_DOKUMEN_BERITA\9_results\training_summary\attention_bilstm_a2_summary.json,AG News,executed,True,True,True,C:\TA_KLASIFIKASI_DOKUMEN_BERITA\9_results\experiment_logs\attention_bilstm_a2.log
attention_bilstm_k1,attention_bilstm,K1,success,0,2026-07-17T02:43:30,2026-07-17T02:44:11,40.7187,0.6786,2,0.1892301142215728,0.9470000267028807,7,,C:\TA_KLASIFIKASI_DOKUMEN_BERITA\8_save_models\checkpoints\attention_bilstm_k1_best.keras,C:\TA_KLASIFIKASI_DOKUMEN_BERITA\9_results\training_summary\attention_bilstm_k1_summary.json,Kompas,executed,True,True,True,C:\TA_KLASIFIKASI_DOKUMEN_BERITA\9_results\experiment_logs\attention_bilstm_k1.log
attention_bilstm_k2,attention_bilstm,K2,success,0,2026-07-17T05:00:20,2026-07-17T05:02:22,122.2383,2.0373,2,0.1515401154756546,0.9580000042915344,7,,C:\TA_KLASIFIKASI_DOKUMEN_BERITA\8_save_models\checkpoints\attention_bilstm_k2_best.keras,C:\TA_KLASIFIKASI_DOKUMEN_BERITA\9_results\training_summary\attention_bilstm_k2_summary.json,Kompas,executed,True,True,True,C:\TA_KLASIFIKASI_DOKUMEN_BERITA\9_results\experiment_logs\attention_bilstm_k2.log
attention_bilstm_k3,attention_bilstm,K3,success,0,2026-07-17T05:02:24,2026-07-17T05:04:20,115.9955,1.9333,2,0.1545238047838211,0.9559999704360962,7,,C:\TA_KLASIFIKASI_DOKUMEN_BERITA\8_save_models\checkpoints\attention_bilstm_k3_best.keras,C:\TA_KLASIFIKASI_DOKUMEN_BERITA\9_results\training_summary\attention_bilstm_k3_summary.json,Kompas,executed,True,True,True,C:\TA_KLASIFIKASI_DOKUMEN_BERITA\9_results\experiment_logs\attention_bilstm_k3.log
cnn_a1,cnn,A1,success,0,2026-07-17T02:47:40,2026-07-17T03:00:17,757.2557,12.6209,1,0.3658164739608764,0.8711400628089905,6,,C:\TA_KLASIFIKASI_DOKUMEN_BERITA\8_save_models\checkpoints\cnn_a1_best.keras,C:\TA_KLASIFIKASI_DOKUMEN_BERITA\9_results\training_summary\cnn_a1_summary.json,AG News,executed,True,True,True,C:\TA_KLASIFIKASI_DOKUMEN_BERITA\9_results\experiment_logs\cnn_a1.log
cnn_a2,cnn,A2,success,0,2026-07-17T03:00:18,2026-07-17T03:17:09,1011.4072,16.8568,2,0.2501887381076813,0.9198797941207886,7,,C:\TA_KLASIFIKASI_DOKUMEN_BERITA\8_save_models\checkpoints\cnn_a2_best.keras,C:\TA_KLASIFIKASI_DOKUMEN_BERITA\9_results\training_summary\cnn_a2_summary.json,AG News,executed,True,True,True,C:\TA_KLASIFIKASI_DOKUMEN_BERITA\9_results\experiment_logs\cnn_a2.log
cnn_k1,cnn,K1,success,0,2026-07-17T02:40:52,2026-07-17T02:41:23,30.3667,0.5061,2,0.2006700783967971,0.9430000185966492,7,,C:\TA_KLASIFIKASI_DOKUMEN_BERITA\8_save_models\checkpoints\cnn_k1_best.keras,C:\TA_KLASIFIKASI_DOKUMEN_BERITA\9_results\training_summary\cnn_k1_summary.json,Kompas,executed,True,True,True,C:\TA_KLASIFIKASI_DOKUMEN_BERITA\9_results\experiment_logs\cnn_k1.log
cnn_k2,cnn,K2,success,0,2026-07-17T02:46:26,2026-07-17T02:47:02,35.9158,0.5986,2,0.1578211337327957,0.9520000219345092,7,,C:\TA_KLASIFIKASI_DOKUMEN_BERITA\8_save_models\checkpoints\cnn_k2_best.keras,C:\TA_KLASIFIKASI_DOKUMEN_BERITA\9_results\training_summary\cnn_k2_summary.json,Kompas,executed,True,True,True,C:\TA_KLASIFIKASI_DOKUMEN_BERITA\9_results\experiment_logs\cnn_k2.log
cnn_k3,cnn,K3,success,0,2026-07-17T02:47:03,2026-07-17T02:47:39,35.8723,0.5979,2,0.159499391913414,0.949999988079071,7,,C:\TA_KLASIFIKASI_DOKUMEN_BERITA\8_save_models\checkpoints\cnn_k3_best.keras,C:\TA_KLASIFIKASI_DOKUMEN_BERITA\9_results\training_summary\cnn_k3_summary.json,Kompas,executed,True,True,True,C:\TA_KLASIFIKASI_DOKUMEN_BERITA\9_results\experiment_logs\cnn_k3.log
