experiment_name,model,dataset,scenario_code,class_index,actual_class,total_actual,correct_predictions,incorrect_predictions,class_recall,most_confused_with,most_confused_count
attention_bilstm_a1,attention_bilstm,AG News,A1,0,world,1900,1676,224,0.8821052631578947,business,84
attention_bilstm_a1,attention_bilstm,AG News,A1,1,sports,1900,1778,122,0.9357894736842105,world,53
attention_bilstm_a1,attention_bilstm,AG News,A1,2,business,1900,1585,315,0.8342105263157895,sci_tech,161
attention_bilstm_a1,attention_bilstm,AG News,A1,3,sci_tech,1900,1564,336,0.8231578947368421,business,178
cnn_a1,cnn,AG News,A1,0,world,1900,1673,227,0.8805263157894737,business,86
cnn_a1,cnn,AG News,A1,1,sports,1900,1775,125,0.9342105263157895,world,58
cnn_a1,cnn,AG News,A1,2,business,1900,1574,326,0.828421052631579,sci_tech,167
cnn_a1,cnn,AG News,A1,3,sci_tech,1900,1609,291,0.8468421052631578,business,139
attention_bilstm_a2,attention_bilstm,AG News,A2,0,world,1900,1754,146,0.9231578947368421,sports,58
attention_bilstm_a2,attention_bilstm,AG News,A2,1,sports,1900,1868,32,0.9831578947368421,world,18
attention_bilstm_a2,attention_bilstm,AG News,A2,2,business,1900,1675,225,0.881578947368421,sci_tech,123
attention_bilstm_a2,attention_bilstm,AG News,A2,3,sci_tech,1900,1630,270,0.8578947368421053,business,170
cnn_a2,cnn,AG News,A2,0,world,1900,1702,198,0.8957894736842106,business,98
cnn_a2,cnn,AG News,A2,1,sports,1900,1857,43,0.9773684210526316,world,20
cnn_a2,cnn,AG News,A2,2,business,1900,1732,168,0.911578947368421,sci_tech,100
cnn_a2,cnn,AG News,A2,3,sci_tech,1900,1677,223,0.8826315789473684,business,155
attention_bilstm_k1,attention_bilstm,Kompas,K1,0,bola,250,248,2,0.992,money,1
attention_bilstm_k1,attention_bilstm,Kompas,K1,1,global,250,228,22,0.912,tekno,10
attention_bilstm_k1,attention_bilstm,Kompas,K1,2,money,250,233,17,0.932,global,10
attention_bilstm_k1,attention_bilstm,Kompas,K1,3,tekno,250,235,15,0.94,global,7
cnn_k1,cnn,Kompas,K1,0,bola,250,248,2,0.992,money,1
cnn_k1,cnn,Kompas,K1,1,global,250,228,22,0.912,money,10
cnn_k1,cnn,Kompas,K1,2,money,250,232,18,0.928,global,14
cnn_k1,cnn,Kompas,K1,3,tekno,250,230,20,0.92,money,11
attention_bilstm_k2,attention_bilstm,Kompas,K2,0,bola,250,247,3,0.988,global,3
attention_bilstm_k2,attention_bilstm,Kompas,K2,1,global,250,244,6,0.976,money,4
attention_bilstm_k2,attention_bilstm,Kompas,K2,2,money,250,240,10,0.96,global,5
attention_bilstm_k2,attention_bilstm,Kompas,K2,3,tekno,250,237,13,0.948,global,7
cnn_k2,cnn,Kompas,K2,0,bola,250,249,1,0.996,global,1
cnn_k2,cnn,Kompas,K2,1,global,250,241,9,0.964,tekno,5
cnn_k2,cnn,Kompas,K2,2,money,250,238,12,0.952,global,7
cnn_k2,cnn,Kompas,K2,3,tekno,250,241,9,0.964,global,6
attention_bilstm_k3,attention_bilstm,Kompas,K3,0,bola,250,249,1,0.996,global,1
attention_bilstm_k3,attention_bilstm,Kompas,K3,1,global,250,239,11,0.956,money,4
attention_bilstm_k3,attention_bilstm,Kompas,K3,2,money,250,237,13,0.948,global,6
attention_bilstm_k3,attention_bilstm,Kompas,K3,3,tekno,250,233,17,0.932,global,8
cnn_k3,cnn,Kompas,K3,0,bola,250,246,4,0.984,global,2
cnn_k3,cnn,Kompas,K3,1,global,250,245,5,0.98,tekno,3
cnn_k3,cnn,Kompas,K3,2,money,250,231,19,0.924,global,11
cnn_k3,cnn,Kompas,K3,3,tekno,250,237,13,0.948,global,9
