experiment_name,model,dataset,scenario_code,scenario_name,sequence_length,jumlah_test,accuracy,f1_macro,inference_time_seconds,average_inference_ms_per_sample,samples_per_second,efficiency_rank
cnn_a2,CNN,AG News,A2,Title + Description,60,7600,0.916842105263158,0.9168050709752416,1.516992,0.199604,5009.914356832469,1
cnn_a1,CNN,AG News,A1,Title,60,7600,0.8725,0.8721047683701564,1.585268,0.208588,4794.142063045491,2
attention_bilstm_a1,Attention-BiLSTM,AG News,A1,Title,60,7600,0.8688157894736842,0.8683701927902188,3.510857,0.461955,2164.7136297490897,3
cnn_k3,CNN,Kompas,K3,Title + Description + Keyword YAKE,60,1000,0.959,0.9590609517111816,0.47143,0.47143,2121.2056933160807,4
attention_bilstm_a2,Attention-BiLSTM,AG News,A2,Title + Description,60,7600,0.9114473684210528,0.9110709871788676,3.655642,0.481006,2078.9781931600523,5
cnn_k2,CNN,Kompas,K2,Title + Description,60,1000,0.969,0.9690358618620192,0.537634,0.537634,1860.0014136010745,6
cnn_k1,CNN,Kompas,K1,Title,20,1000,0.938,0.9379869525019224,0.57276,0.57276,1745.931978490118,7
attention_bilstm_k2,Attention-BiLSTM,Kompas,K2,Title + Description,60,1000,0.968,0.9680427375865936,1.066817,1.066817,937.3678897130436,8
attention_bilstm_k1,Attention-BiLSTM,Kompas,K1,Title,20,1000,0.944,0.9438325024922908,1.076388,1.076388,929.0330252659822,9
attention_bilstm_k3,Attention-BiLSTM,Kompas,K3,Title + Description + Keyword YAKE,60,1000,0.958,0.9578833740254084,1.716941,1.716941,582.4311959467448,10
