publication_date,jumlah_berita,weekday_number,day_name,month_period,is_active_day
2026-01-26,14,0,Senin,2026-01,True
2026-01-27,17,1,Selasa,2026-01,True
2026-01-28,25,2,Rabu,2026-01,True
2026-01-29,25,3,Kamis,2026-01,True
2026-01-30,27,4,Jumat,2026-01,True
2026-01-31,11,5,Sabtu,2026-01,True
2026-02-01,11,6,Minggu,2026-02,True
2026-02-02,15,0,Senin,2026-02,True
2026-02-03,21,1,Selasa,2026-02,True
2026-02-04,25,2,Rabu,2026-02,True
2026-02-05,23,3,Kamis,2026-02,True
2026-02-06,17,4,Jumat,2026-02,True
2026-02-07,11,5,Sabtu,2026-02,True
2026-02-08,13,6,Minggu,2026-02,True
2026-02-09,28,0,Senin,2026-02,True
2026-02-10,27,1,Selasa,2026-02,True
2026-02-11,21,2,Rabu,2026-02,True
2026-02-12,25,3,Kamis,2026-02,True
2026-02-13,15,4,Jumat,2026-02,True
2026-02-14,17,5,Sabtu,2026-02,True
2026-02-15,12,6,Minggu,2026-02,True
2026-02-16,25,0,Senin,2026-02,True
2026-02-17,14,1,Selasa,2026-02,True
2026-02-18,24,2,Rabu,2026-02,True
2026-02-19,22,3,Kamis,2026-02,True
2026-02-20,16,4,Jumat,2026-02,True
2026-02-21,17,5,Sabtu,2026-02,True
2026-02-22,14,6,Minggu,2026-02,True
2026-02-23,20,0,Senin,2026-02,True
2026-02-24,26,1,Selasa,2026-02,True
2026-02-25,25,2,Rabu,2026-02,True
2026-02-26,34,3,Kamis,2026-02,True
2026-02-27,23,4,Jumat,2026-02,True
2026-02-28,17,5,Sabtu,2026-02,True
2026-03-01,13,6,Minggu,2026-03,True
2026-03-02,24,0,Senin,2026-03,True
2026-03-03,27,1,Selasa,2026-03,True
2026-03-04,26,2,Rabu,2026-03,True
2026-03-05,29,3,Kamis,2026-03,True
2026-03-06,20,4,Jumat,2026-03,True
2026-03-07,8,5,Sabtu,2026-03,True
2026-03-08,15,6,Minggu,2026-03,True
2026-03-09,16,0,Senin,2026-03,True
2026-03-10,23,1,Selasa,2026-03,True
2026-03-11,23,2,Rabu,2026-03,True
2026-03-12,24,3,Kamis,2026-03,True
2026-03-13,21,4,Jumat,2026-03,True
2026-03-14,12,5,Sabtu,2026-03,True
2026-03-15,7,6,Minggu,2026-03,True
2026-03-16,24,0,Senin,2026-03,True
2026-03-17,29,1,Selasa,2026-03,True
2026-03-18,24,2,Rabu,2026-03,True
2026-03-19,45,3,Kamis,2026-03,True
2026-03-20,47,4,Jumat,2026-03,True
2026-03-21,34,5,Sabtu,2026-03,True
2026-03-22,35,6,Minggu,2026-03,True
2026-03-23,41,0,Senin,2026-03,True
2026-03-24,43,1,Selasa,2026-03,True
2026-03-25,59,2,Rabu,2026-03,True
2026-03-26,55,3,Kamis,2026-03,True
2026-03-27,55,4,Jumat,2026-03,True
2026-03-28,34,5,Sabtu,2026-03,True
2026-03-29,38,6,Minggu,2026-03,True
2026-03-30,63,0,Senin,2026-03,True
2026-03-31,61,1,Selasa,2026-03,True
2026-04-01,71,2,Rabu,2026-04,True
2026-04-02,71,3,Kamis,2026-04,True
2026-04-03,61,4,Jumat,2026-04,True
2026-04-04,53,5,Sabtu,2026-04,True
2026-04-05,47,6,Minggu,2026-04,True
2026-04-06,64,0,Senin,2026-04,True
2026-04-07,70,1,Selasa,2026-04,True
2026-04-08,76,2,Rabu,2026-04,True
2026-04-09,63,3,Kamis,2026-04,True
2026-04-10,56,4,Jumat,2026-04,True
2026-04-11,45,5,Sabtu,2026-04,True
2026-04-12,47,6,Minggu,2026-04,True
2026-04-13,65,0,Senin,2026-04,True
2026-04-14,77,1,Selasa,2026-04,True
2026-04-15,71,2,Rabu,2026-04,True
2026-04-16,81,3,Kamis,2026-04,True
2026-04-17,64,4,Jumat,2026-04,True
2026-04-18,47,5,Sabtu,2026-04,True
2026-04-19,86,6,Minggu,2026-04,True
2026-04-20,126,0,Senin,2026-04,True
2026-04-21,129,1,Selasa,2026-04,True
2026-04-22,145,2,Rabu,2026-04,True
2026-04-23,151,3,Kamis,2026-04,True
2026-04-24,139,4,Jumat,2026-04,True
2026-04-25,118,5,Sabtu,2026-04,True
2026-04-26,141,6,Minggu,2026-04,True
2026-04-27,136,0,Senin,2026-04,True
2026-04-28,198,1,Selasa,2026-04,True
2026-04-29,231,2,Rabu,2026-04,True
2026-04-30,227,3,Kamis,2026-04,True
2026-05-01,197,4,Jumat,2026-05,True
2026-05-02,158,5,Sabtu,2026-05,True
2026-05-03,159,6,Minggu,2026-05,True
2026-05-04,246,0,Senin,2026-05,True
2026-05-05,250,1,Selasa,2026-05,True
2026-05-06,253,2,Rabu,2026-05,True
2026-05-07,234,3,Kamis,2026-05,True
2026-05-08,253,4,Jumat,2026-05,True
2026-05-09,176,5,Sabtu,2026-05,True
2026-05-10,191,6,Minggu,2026-05,True
2026-05-11,225,0,Senin,2026-05,True
2026-05-12,214,1,Selasa,2026-05,True
2026-05-13,267,2,Rabu,2026-05,True
2026-05-14,187,3,Kamis,2026-05,True
2026-05-15,222,4,Jumat,2026-05,True
2026-05-16,166,5,Sabtu,2026-05,True
2026-05-17,165,6,Minggu,2026-05,True
2026-05-18,222,0,Senin,2026-05,True
2026-05-19,239,1,Selasa,2026-05,True
2026-05-20,289,2,Rabu,2026-05,True
2026-05-21,269,3,Kamis,2026-05,True
2026-05-22,248,4,Jumat,2026-05,True
2026-05-23,199,5,Sabtu,2026-05,True
2026-05-24,171,6,Minggu,2026-05,True
2026-05-25,189,0,Senin,2026-05,True
