experiment_name,model,dataset,scenario_code,actual_class,predicted_class,misclassification_count,percentage_of_actual_class
attention_bilstm_a1,attention_bilstm,AG News,A1,sci_tech,business,183,9.828141783029002
attention_bilstm_a1,attention_bilstm,AG News,A1,business,sci_tech,181,9.725953788285867
attention_bilstm_a1,attention_bilstm,AG News,A1,world,business,125,6.695232994108196
attention_bilstm_a1,attention_bilstm,AG News,A1,world,sports,88,4.713444027852169
attention_bilstm_a1,attention_bilstm,AG News,A1,sports,business,77,4.108858057630736
attention_bilstm_a1,attention_bilstm,AG News,A1,sci_tech,world,75,4.027926960257788
attention_bilstm_a1,attention_bilstm,AG News,A1,business,world,70,3.7614185921547554
attention_bilstm_a1,attention_bilstm,AG News,A1,world,sci_tech,70,3.7493304767005893
attention_bilstm_a1,attention_bilstm,AG News,A1,business,sports,63,3.3852767329392797
attention_bilstm_a1,attention_bilstm,AG News,A1,sci_tech,sports,61,3.2760472610096674
attention_bilstm_a1,attention_bilstm,AG News,A1,sports,world,46,2.454642475987193
attention_bilstm_a1,attention_bilstm,AG News,A1,sports,sci_tech,39,2.08110992529349
attention_bilstm_a2,attention_bilstm,AG News,A2,business,sci_tech,167,8.973670069854917
attention_bilstm_a2,attention_bilstm,AG News,A2,sci_tech,business,148,7.9484425349087005
attention_bilstm_a2,attention_bilstm,AG News,A2,world,business,114,6.106052490626674
attention_bilstm_a2,attention_bilstm,AG News,A2,world,sports,81,4.33851098018211
attention_bilstm_a2,attention_bilstm,AG News,A2,world,sci_tech,61,3.267273701124799
attention_bilstm_a2,attention_bilstm,AG News,A2,sci_tech,world,56,3.007518796992481
attention_bilstm_a2,attention_bilstm,AG News,A2,business,world,54,2.9016657710908116
attention_bilstm_a2,attention_bilstm,AG News,A2,sports,business,46,2.454642475987193
attention_bilstm_a2,attention_bilstm,AG News,A2,business,sports,37,1.9881783987103707
attention_bilstm_a2,attention_bilstm,AG News,A2,sci_tech,sports,37,1.9871106337271751
attention_bilstm_a2,attention_bilstm,AG News,A2,sports,world,30,1.6008537886872998
attention_bilstm_a2,attention_bilstm,AG News,A2,sports,sci_tech,16,0.8537886872998933
attention_bilstm_k1,attention_bilstm,Kompas,K1,tekno,money,18,7.199999999999999
attention_bilstm_k1,attention_bilstm,Kompas,K1,tekno,global,9,3.5999999999999996
attention_bilstm_k1,attention_bilstm,Kompas,K1,global,money,8,3.2
attention_bilstm_k1,attention_bilstm,Kompas,K1,money,global,7,2.8000000000000003
