experiment_name,model,dataset,scenario_code,scenario_name,best_epoch,final_epoch,epochs_after_best,final_train_accuracy,final_validation_accuracy,final_train_loss,final_validation_loss,final_accuracy_gap,validation_loss_change_after_best,validation_accuracy_change_after_best,overfitting_detected,interpretation
attention_bilstm_a1,Attention-BiLSTM,AG News,A1,Title,1,6,5,0.9647053480148317,0.8696377873420715,0.0895311161875724,0.6367461085319519,0.09506756067276012,0.2710104882717133,-0.004172921180725098,True,Terdapat indikasi overfitting setelah epoch terbaik. Train accuracy meningkat dan validation loss memburuk.
cnn_a1,CNN,AG News,A1,Title,1,6,5,0.9822320938110352,0.870388925075531,0.0465356633067131,0.6410551071166992,0.11184316873550415,0.2752386331558228,-0.0007511377334594727,True,Terdapat indikasi overfitting setelah epoch terbaik. Train accuracy meningkat dan validation loss memburuk.
attention_bilstm_a2,Attention-BiLSTM,AG News,A2,Title + Description,1,6,5,0.9872490167617798,0.9117843508720398,0.0307145472615957,0.55165696144104,0.07546466588973999,0.30166654288768774,-0.004673659801483154,True,Terdapat indikasi overfitting setelah epoch terbaik. Train accuracy meningkat dan validation loss memburuk.
cnn_a2,CNN,AG News,A2,Title + Description,2,7,5,0.9967357516288756,0.9157068729400636,0.0097699714824557,0.5265457034111023,0.08102887868881203,0.276356965303421,-0.004172921180724987,True,Terdapat indikasi overfitting setelah epoch terbaik. Train accuracy meningkat dan validation loss memburuk.
attention_bilstm_k1,Attention-BiLSTM,Kompas,K1,Title,2,7,5,0.9997498989105223,0.9350000023841858,0.0014345742529258,0.2685551345348358,0.06474989652633656,0.07932502031326302,-0.012000024318694957,True,Terdapat indikasi overfitting setelah epoch terbaik. Train accuracy meningkat dan validation loss memburuk.
cnn_k1,CNN,Kompas,K1,Title,2,7,5,0.9998749494552612,0.9359999895095824,0.0028747275937348,0.266264796257019,0.06387495994567882,0.06559471786022189,-0.007000029087066761,True,Terdapat indikasi overfitting setelah epoch terbaik. Train accuracy meningkat dan validation loss memburuk.
attention_bilstm_k2,Attention-BiLSTM,Kompas,K2,Title + Description,2,7,5,0.9997498989105223,0.9610000252723694,0.0012241419171914,0.2066940367221832,0.038749873638152965,0.0551539212465286,0.003000020980834961,True,Terdapat indikasi overfitting setelah epoch terbaik. Train accuracy meningkat dan validation loss memburuk.
cnn_k2,CNN,Kompas,K2,Title + Description,2,7,5,0.9998749494552612,0.9539999961853028,0.0021084398031234,0.1997069865465164,0.045874953269958385,0.0418858528137207,0.001999974250793679,True,Terdapat indikasi overfitting setelah epoch terbaik. Train accuracy meningkat dan validation loss memburuk.
attention_bilstm_k3,Attention-BiLSTM,Kompas,K3,Title + Description + Keyword YAKE,2,7,5,0.9996248483657836,0.953000009059906,0.0030665739905089,0.2650972306728363,0.046624839305877575,0.1105734258890152,-0.0029999613761901855,True,Terdapat indikasi overfitting setelah epoch terbaik. Train accuracy meningkat dan validation loss memburuk.
cnn_k3,CNN,Kompas,K3,Title + Description + Keyword YAKE,2,7,5,1.0,0.9509999752044678,0.0023259234149008,0.2038638740777969,0.04900002479553223,0.04436448216438291,0.0009999871253967285,True,Terdapat indikasi overfitting setelah epoch terbaik. Train accuracy meningkat dan validation loss memburuk.
