importance_rank,shap_sample_position,original_test_index,document_id,category_from_npz,selection_type,actual_index,actual_label,predicted_index,predicted_label,token_id,token,signed_shap,absolute_shap,mean_signed_shap,mean_absolute_shap,occurrence_count,token_positions,direction
1,0,860,KMP-08962,money,incorrect_high_confidence,2,money,3,tekno,26,ai,0.7718009352684021,0.7718009352684021,0.7718009352684021,0.7718009352684021,1,29,mendukung_prediksi
2,0,860,KMP-08962,money,incorrect_high_confidence,2,money,3,tekno,16,rp,-0.21107985079288483,0.21107985079288483,-0.10553992539644241,0.10553992539644241,2,"5,23",menahan_prediksi
3,0,860,KMP-08962,money,incorrect_high_confidence,2,money,3,tekno,4,dan,0.15188050270080566,0.15188050270080566,0.15188050270080566,0.15188050270080566,1,26,mendukung_prediksi
4,0,860,KMP-08962,money,incorrect_high_confidence,2,money,3,tekno,812,dugaan,-0.07111228257417679,0.14597275108098984,-0.035556141287088394,0.07298637554049492,2,"2,21",menahan_prediksi
5,0,860,KMP-08962,money,incorrect_high_confidence,2,money,3,tekno,3225,eksekutif,0.10913671553134918,0.10913671553134918,0.10913671553134918,0.10913671553134918,1,14,mendukung_prediksi
6,0,860,KMP-08962,money,incorrect_high_confidence,2,money,3,tekno,665,berbasis,-0.0875595211982727,0.0875595211982727,-0.0875595211982727,0.0875595211982727,1,28,menahan_prediksi
7,0,860,KMP-08962,money,incorrect_high_confidence,2,money,3,tekno,200,miliar,0.08491268195211887,0.08491268195211887,0.04245634097605944,0.04245634097605944,2,"7,25",mendukung_prediksi
8,0,860,KMP-08962,money,incorrect_high_confidence,2,money,3,tekno,9,as,0.04827607236802578,0.08079240657389164,0.02413803618401289,0.04039620328694582,2,"0,19",mendukung_prediksi
9,0,860,KMP-08962,money,incorrect_high_confidence,2,money,3,tekno,10312,354,0.008023973554372787,0.07536860182881355,0.004011986777186394,0.037684300914406776,2,"6,24",mendukung_prediksi
10,0,860,KMP-08962,money,incorrect_high_confidence,2,money,3,tekno,11845,penggelapan,-0.021616866812109947,0.07211432792246342,-0.010808433406054974,0.03605716396123171,2,"3,22",menahan_prediksi
11,0,860,KMP-08962,money,incorrect_high_confidence,2,money,3,tekno,578,dana,-0.07171373814344406,0.07171373814344406,-0.07171373814344406,0.07171373814344406,1,4,menahan_prediksi
12,0,860,KMP-08962,money,incorrect_high_confidence,2,money,3,tekno,1773,penipuan,0.06313145160675049,0.06313145160675049,0.06313145160675049,0.06313145160675049,1,27,mendukung_prediksi
13,0,860,KMP-08962,money,incorrect_high_confidence,2,money,3,tekno,3,di,0.03842370491474867,0.06104732770472765,0.019211852457374334,0.030523663852363825,2,"8,18",mendukung_prediksi
14,0,860,KMP-08962,money,incorrect_high_confidence,2,money,3,tekno,82,atas,-0.05782542750239372,0.05782542750239372,-0.05782542750239372,0.05782542750239372,1,20,menahan_prediksi
15,0,860,KMP-08962,money,incorrect_high_confidence,2,money,3,tekno,375,malaysia,0.009222311899065971,0.05643572844564915,0.004611155949532986,0.028217864222824574,2,"10,16",mendukung_prediksi
16,0,860,KMP-08962,money,incorrect_high_confidence,2,money,3,tekno,198,tiga,0.04045673459768295,0.04045673459768295,0.04045673459768295,0.04045673459768295,1,12,mendukung_prediksi
17,0,860,KMP-08962,money,incorrect_high_confidence,2,money,3,tekno,685,mantan,-0.03278423845767975,0.03278423845767975,-0.03278423845767975,0.03278423845767975,1,13,menahan_prediksi
18,0,860,KMP-08962,money,incorrect_high_confidence,2,money,3,tekno,5283,didakwa,-0.02669682726264,0.02669682726264,-0.02669682726264,0.02669682726264,1,17,menahan_prediksi
19,0,860,KMP-08962,money,incorrect_high_confidence,2,money,3,tekno,1810,bongkar,-0.001896760892122984,0.001896760892122984,-0.001896760892122984,0.001896760892122984,1,1,menahan_prediksi
