experiment_name,model,dataset,scenario_code,scenario_name,epochs_completed,best_epoch,best_train_accuracy,best_validation_accuracy,best_train_loss,best_validation_loss,summary_best_epoch,history_summary_consistent,accuracy_curve_path,loss_curve_path,combined_curve_path
attention_bilstm_a1,Attention-BiLSTM,AG News,A1,Title,6,1,0.8342931270599365,0.8738107085227966,0.4726631045341491,0.3657356202602386,1,True,C:\TA_KLASIFIKASI_DOKUMEN_BERITA\9_results\figures\training_curves\attention_bilstm_a1_accuracy_curve.png,C:\TA_KLASIFIKASI_DOKUMEN_BERITA\9_results\figures\training_curves\attention_bilstm_a1_loss_curve.png,C:\TA_KLASIFIKASI_DOKUMEN_BERITA\9_results\figures\training_curves\attention_bilstm_a1_training_curve.png
cnn_a1,CNN,AG News,A1,Title,6,1,0.8188436031341553,0.8711400628089905,0.5011023283004761,0.3658164739608764,1,True,C:\TA_KLASIFIKASI_DOKUMEN_BERITA\9_results\figures\training_curves\cnn_a1_accuracy_curve.png,C:\TA_KLASIFIKASI_DOKUMEN_BERITA\9_results\figures\training_curves\cnn_a1_loss_curve.png,C:\TA_KLASIFIKASI_DOKUMEN_BERITA\9_results\figures\training_curves\cnn_a1_training_curve.png
attention_bilstm_a2,Attention-BiLSTM,AG News,A2,Title + Description,6,1,0.8934483528137207,0.916458010673523,0.317005842924118,0.2499904185533523,1,True,C:\TA_KLASIFIKASI_DOKUMEN_BERITA\9_results\figures\training_curves\attention_bilstm_a2_accuracy_curve.png,C:\TA_KLASIFIKASI_DOKUMEN_BERITA\9_results\figures\training_curves\attention_bilstm_a2_loss_curve.png,C:\TA_KLASIFIKASI_DOKUMEN_BERITA\9_results\figures\training_curves\attention_bilstm_a2_training_curve.png
cnn_a2,CNN,AG News,A2,Title + Description,7,2,0.9399452805519104,0.9198797941207886,0.1843881011009216,0.2501887381076813,2,True,C:\TA_KLASIFIKASI_DOKUMEN_BERITA\9_results\figures\training_curves\cnn_a2_accuracy_curve.png,C:\TA_KLASIFIKASI_DOKUMEN_BERITA\9_results\figures\training_curves\cnn_a2_loss_curve.png,C:\TA_KLASIFIKASI_DOKUMEN_BERITA\9_results\figures\training_curves\cnn_a2_training_curve.png
attention_bilstm_k1,Attention-BiLSTM,Kompas,K1,Title,7,2,0.9678629636764526,0.9470000267028807,0.1128936633467674,0.1892301142215728,2,True,C:\TA_KLASIFIKASI_DOKUMEN_BERITA\9_results\figures\training_curves\attention_bilstm_k1_accuracy_curve.png,C:\TA_KLASIFIKASI_DOKUMEN_BERITA\9_results\figures\training_curves\attention_bilstm_k1_loss_curve.png,C:\TA_KLASIFIKASI_DOKUMEN_BERITA\9_results\figures\training_curves\attention_bilstm_k1_training_curve.png
cnn_k1,CNN,Kompas,K1,Title,7,2,0.9563586115837096,0.9430000185966492,0.1446669846773147,0.2006700783967971,2,True,C:\TA_KLASIFIKASI_DOKUMEN_BERITA\9_results\figures\training_curves\cnn_k1_accuracy_curve.png,C:\TA_KLASIFIKASI_DOKUMEN_BERITA\9_results\figures\training_curves\cnn_k1_loss_curve.png,C:\TA_KLASIFIKASI_DOKUMEN_BERITA\9_results\figures\training_curves\cnn_k1_training_curve.png
attention_bilstm_k2,Attention-BiLSTM,Kompas,K2,Title + Description,7,2,0.9789921045303344,0.9580000042915344,0.0774154067039489,0.1515401154756546,2,True,C:\TA_KLASIFIKASI_DOKUMEN_BERITA\9_results\figures\training_curves\attention_bilstm_k2_accuracy_curve.png,C:\TA_KLASIFIKASI_DOKUMEN_BERITA\9_results\figures\training_curves\attention_bilstm_k2_loss_curve.png,C:\TA_KLASIFIKASI_DOKUMEN_BERITA\9_results\figures\training_curves\attention_bilstm_k2_training_curve.png
cnn_k2,CNN,Kompas,K2,Title + Description,7,2,0.963111162185669,0.9520000219345092,0.1324670761823654,0.1578211337327957,2,True,C:\TA_KLASIFIKASI_DOKUMEN_BERITA\9_results\figures\training_curves\cnn_k2_accuracy_curve.png,C:\TA_KLASIFIKASI_DOKUMEN_BERITA\9_results\figures\training_curves\cnn_k2_loss_curve.png,C:\TA_KLASIFIKASI_DOKUMEN_BERITA\9_results\figures\training_curves\cnn_k2_training_curve.png
attention_bilstm_k3,Attention-BiLSTM,Kompas,K3,Title + Description + Keyword YAKE,7,2,0.9801175594329834,0.9559999704360962,0.0755256190896034,0.1545238047838211,2,True,C:\TA_KLASIFIKASI_DOKUMEN_BERITA\9_results\figures\training_curves\attention_bilstm_k3_accuracy_curve.png,C:\TA_KLASIFIKASI_DOKUMEN_BERITA\9_results\figures\training_curves\attention_bilstm_k3_loss_curve.png,C:\TA_KLASIFIKASI_DOKUMEN_BERITA\9_results\figures\training_curves\attention_bilstm_k3_training_curve.png
cnn_k3,CNN,Kompas,K3,Title + Description + Keyword YAKE,7,2,0.9627360105514526,0.949999988079071,0.1333731263875961,0.159499391913414,2,True,C:\TA_KLASIFIKASI_DOKUMEN_BERITA\9_results\figures\training_curves\cnn_k3_accuracy_curve.png,C:\TA_KLASIFIKASI_DOKUMEN_BERITA\9_results\figures\training_curves\cnn_k3_loss_curve.png,C:\TA_KLASIFIKASI_DOKUMEN_BERITA\9_results\figures\training_curves\cnn_k3_training_curve.png
